year,month,month_name,total_transactions,total_amount,fraud_count,fraud_amount,avg_fraud_prob,high_risk_count,fraud_rate_pct
2022,2,Feb 2022,1,1002500.0,0,0.0,0.071415216,0,0.0
2022,6,Jun 2022,1,50750000.0,0,0.0,0.06268432,0,0.0
2022,9,Sep 2022,2,65065600.0,0,0.0,0.189309745,0,0.0
2022,10,Oct 2022,3,31230339.4,0,0.0,0.02606315366666666,0,0.0
2022,11,Nov 2022,3,55224872.4,0,0.0,0.11799166666666666,0,0.0
2022,12,Dec 2022,26,1240278160.817,4,360858105.5105,0.27930810842307696,4,15.384615384615385
2023,1,Jan 2023,850,55608321466.08927,167,19195446928.4645,0.3113811405210588,178,19.647058823529413
2023,2,Feb 2023,1167,95992211537.69067,299,43250675258.463,0.3681447655025707,311,25.621251071122536
2023,3,Mar 2023,1886,110830509115.14539,477,49399416994.0285,0.3669172427940085,494,25.291622481442204
2023,4,Apr 2023,1689,54911515171.9048,365,20052119366.2835,0.3295836956373002,373,21.61042036708111
2023,5,May 2023,2058,57620382992.3458,445,21227106294.6795,0.3181633150665695,412,21.622934888241012
2023,6,Jun 2023,2557,86185319129.64635,609,30710402357.792,0.3330238905562769,582,23.81697301525225
2023,7,Jul 2023,3133,83649636738.23347,718,40707638719.638,0.32571299344947335,674,22.917331631024577
2023,8,Aug 2023,2319,46712622778.89834,348,9548402784.93604,0.2520716378451919,307,15.006468305304011
2023,9,Sep 2023,2308,50935625526.63088,284,7003460028.543,0.23765166970125653,229,12.305025996533796
2023,10,Oct 2023,2449,52234728027.217964,276,8493249097.543999,0.23217486239677418,230,11.269906084115966
2023,11,Nov 2023,2883,56417276647.97433,264,7035062186.705885,0.2127161369877558,223,9.157127991675338
2023,12,Dec 2023,3437,67759561853.67771,377,10115632865.302639,0.22117104785976144,324,10.968868199010766
